customer,date,billing
WEQlG,2018-11-05,14.24
xpkb8,2018-11-11,15.03
Ded2T,2018-11-02,25.43
qtZou,2018-11-05,10.84
Ifz_5,2018-11-02,30.04
Eul__,2018-11-02,52.22
mF79K,2018-11-11,11.41
fdALP,2018-11-04,7.33
5wbVI,2018-11-11,27.89
0ZlQ9,2018-11-14,12.61
DYeM~,2018-11-03,17.25
H9cLm,2018-11-02,26.5
aUspH,2018-11-02,37.44
Gdosi,2018-11-10,25.97
Kosu3,2018-11-07,19.31
uKzKn,2018-11-14,28.0
r1he7,2018-11-02,29.68
ylrg1,2018-11-02,17.64
cvTZe,2018-11-05,12.91
EA2eK,2018-11-03,59.6
MPRkr,2018-11-08,27.34
QmzNZ,2018-11-15,8.81
piZCm,2018-11-02,10.13
5fiZZ,2018-11-02,18.56
xJi18,2018-11-04,8.1
hzS9Y,2018-11-02,26.88
Xmq61,2018-11-02,24.64
NCsZb,2018-11-16,59.88
bNg8Z,2018-11-20,15.29
tQrbX,2018-11-11,10.53
S1nfF,2018-11-30,7.74
QXTC3,2018-11-02,5.55
RGTX6,2018-11-14,24.62
fRecc,2018-11-02,25.42
3W_V8,2018-11-02,19.09
7GEKe,2018-12-17,29.68
bktzH,2018-11-02,16.07
fpcpz,2018-11-07,28.03
g5L2E,2018-11-03,25.69
z6fAY,2018-11-05,9.37
yi6aT,2018-11-04,18.5
02FS0,2018-11-11,19.92
j1wq0,2018-11-10,31.21
inDY6,2018-11-05,23.55
5gQI2,2018-11-09,26.65
flXFm,2018-11-02,24.18
2bA17,2018-11-02,20.81
SFo~G,2018-11-02,13.27
A2hN9,2018-11-05,12.44
ZsGyI,2018-12-02,20.72
LyusC,2018-11-10,36.21
t3Kcj,2018-11-02,9.48
I3rRj,2018-11-02,40.46
kBAQg,2018-11-02,11.92
hVXk6,2018-11-06,16.3
GOiIx,2018-11-18,7.63
swJhA,2018-11-15,6.71
EOZgc,2018-11-07,30.66
ASDMO,2018-11-10,12.53
mI~Yb,2018-11-09,10.3
TwEFu,2018-11-15,16.0
q7Qe7,2018-11-02,12.24
JFObD,2018-11-02,13.61
KqHAg,2018-11-06,30.41
js1p3,2018-11-10,38.49
NdqO0,2018-11-09,38.99
A3YHZ,2018-11-11,15.49
a_2yD,2018-11-05,13.87
vlral,2018-11-08,20.81
OPYO6,2018-12-12,13.16
wddBy,2018-11-06,34.69
VoFPh,2018-11-16,13.06
XGo2U,2018-11-02,20.96
dVb9F,2018-11-02,8.93
o~tON,2018-11-08,12.04
40dbF,2018-11-05,10.09
TfkGD,2018-11-11,14.07
eqDoA,2018-11-07,33.1
sfdFg,2018-11-09,24.49
P399V,2018-11-18,13.48
woyFu,2018-11-02,14.06
TZLrA,2018-11-02,14.32
egEv_,2018-11-02,16.38
l7Ym5,2018-12-21,39.46
puPg_,2018-11-08,12.06
kCUE_,2018-11-02,31.94
V0MO9,2018-11-09,49.93
TBZ7q,2018-11-02,16.9
lT1hO,2018-11-18,31.08
emrkB,2018-11-21,39.04
G5S7W,2018-11-12,17.68
7JpLx,2018-11-02,55.77
V7fNC,2018-11-07,24.25
7D~C8,2018-11-02,40.71
VL1aD,2018-11-02,24.07
bTtIM,2018-11-10,30.8
qKOmZ,2018-12-03,36.23
A1rzd,2018-11-05,7.71
3QIil,2018-12-06,14.47
~a9zT,2018-11-02,6.84
FZpQF,2018-11-02,10.5
7WUyJ,2018-11-03,10.58
hZXaD,2018-11-02,20.06
WsJPI,2018-11-02,23.85
ggpZQ,2018-11-02,21.07
apkMj,2018-11-08,43.33
EzGPC,2018-11-02,36.68
EWN0K,2018-11-04,26.71
xJd07,2018-11-05,15.41
cTwzF,2018-11-02,28.08
jup8f,2018-11-02,19.24
gCpAn,2018-11-29,11.69
NtQtl,2018-11-05,32.72
wLwW_,2018-11-02,49.95
FYsSa,2018-11-06,27.09
DCtQk,2018-11-02,7.43
Xysoe,2018-11-02,20.4
R7ZMC,2018-11-02,18.35
TsNzK,2018-11-28,32.17
8hfa_,2018-11-02,21.45
wGjeJ,2018-11-02,11.82
BwaKd,2018-11-02,30.54
41FAT,2018-11-04,6.16
Y6ajv,2018-11-25,23.45
H65PJ,2018-11-04,21.98
YC1qR,2018-11-02,19.35
TTAXh,2018-11-10,10.15
X2RNz,2018-11-02,33.96
~XGPH,2018-11-03,27.22
VGWHA,2018-11-03,11.9
GZ4j6,2018-11-16,26.7
tCYZ8,2018-11-19,6.12
gRcaV,2018-11-11,7.66
2mbkw,2018-11-02,27.22
nbO0D,2018-11-14,15.23
8MQWv,2018-12-26,9.95
tC1eo,2018-11-12,15.9
tiDBp,2018-11-23,13.41
7TQlg,2018-11-09,19.19
KcaWf,2018-11-02,45.05
PK3BP,2018-11-02,18.23
7qJLe,2018-11-02,14.2
om0b8,2018-11-10,14.36
p_uLi,2018-11-02,15.5
Mv~T6,2018-11-02,17.08
d53gj,2018-11-02,46.63
yOhnD,2018-11-03,38.62
HBfoM,2018-11-02,19.44
7jerz,2018-11-19,31.7
DQYII,2018-11-02,43.13
fioMb,2018-11-02,20.23
e1CQU,2018-11-10,29.37
IF5KB,2018-11-02,8.73
qzCY_,2018-11-02,5.09
QHtRD,2018-11-12,10.2
8beOS,2018-11-02,15.51
hoLgI,2018-11-02,17.2
x9CFo,2018-11-02,23.38
Ljfah,2018-11-04,31.16
E4FrE,2018-11-04,21.41
432Vm,2018-11-02,7.74
ydRED,2018-11-17,5.25
vDTrG,2018-11-02,13.14
zFHSe,2018-11-02,41.16
G5XOW,2018-11-02,18.92
Z6JYg,2018-11-09,18.54
tPmRo,2018-11-02,27.96
IXPP0,2018-11-02,9.19
dnRMX,2018-11-05,22.63
0cnq4,2018-11-02,20.66
hhpNp,2018-12-19,30.76
hOT_L,2018-11-09,25.87
4zARQ,2018-11-02,23.75
HtXId,2018-11-04,19.46
MqSqm,2018-11-17,9.72
ZM0Bq,2018-11-02,11.61
bsgma,2018-11-02,6.86
zdLvS,2018-11-21,17.75
Gr0uX,2018-11-03,12.74
wpiZS,2018-11-02,18.79
qEE_6,2018-11-02,11.14
11JYo,2018-11-02,22.14
4mnSN,2018-12-24,18.63
PyB4X,2018-11-02,18.06
LZkyn,2018-11-13,75.47
P_aJO,2018-11-03,39.58
al8MJ,2018-11-02,9.73
PNesF,2018-11-02,10.56
aCDho,2018-11-04,20.8
M2_Ct,2019-01-20,8.95
JdB5g,2018-11-02,16.51
TcsXr,2018-11-03,12.48
YxXCc,2018-11-08,13.21
9J8hU,2018-11-08,33.08
LK3DH,2018-11-02,4.44
zvMXR,2018-11-02,36.19
ECirm,2018-11-06,49.2
nOgNJ,2018-11-02,15.38
WBR_4,2018-11-21,16.29
3vayJ,2018-11-16,31.92
xI2Zq,2018-11-11,20.69
GI0AR,2018-11-15,49.39
_mSpt,2018-11-02,24.04
e77YF,2018-11-17,29.13
x8xuL,2018-11-13,18.81
g5EuH,2018-11-03,30.02
W19ak,2018-11-18,9.33
naxTG,2018-11-04,20.44
TxAkS,2018-12-13,14.8
N2PXg,2018-11-02,7.96
xtmBb,2018-11-12,20.54
5s2su,2018-11-20,16.09
Z3kKd,2019-01-07,21.35
oT63B,2018-11-02,12.29
MxZ~F,2018-11-05,12.2
TsCsw,2018-11-02,13.02
CuVfe,2018-11-02,11.65
H3Iaq,2018-11-19,12.04
4ys7G,2018-11-12,19.91
V3Vqu,2018-11-02,14.71
3BQeB,2018-11-11,12.07
6v4_~,2018-11-14,30.37
6NIyd,2018-11-22,36.4
cEzhG,2018-11-03,17.03
gCrhb,2018-11-24,30.5
qNVeX,2018-11-02,20.28
bNEmm,2018-11-06,16.44
rm3XM,2018-11-02,38.35
cGbZz,2018-11-08,23.81
9W4i_,2018-11-11,22.94
jYtfl,2018-11-02,18.45
Zgc7M,2018-11-02,45.62
PlETt,2018-11-10,20.65
I5Isn,2018-11-02,35.39
DCO6q,2018-11-11,16.36
NBUvB,2018-11-02,9.66
Ajjgx,2018-11-15,21.84
cgsEG,2018-11-12,65.88
yggQ~,2018-11-02,35.19
K7wI8,2018-11-10,32.92
o_W5E,2018-11-02,7.06
5~_ln,2018-11-11,17.27
DuZKj,2018-11-15,23.66
eHEan,2018-11-02,19.45
bYv02,2018-11-27,11.55
wSUnN,2018-11-05,19.32
A5SJI,2018-11-02,21.35
UZ8Ok,2018-12-02,28.51
W29Gr,2018-11-02,18.72
zqR03,2018-11-16,36.74
kFgCI,2018-11-03,7.71
JH79D,2018-11-02,17.97
yJ0Qf,2018-11-06,6.94
gV36Q,2018-11-11,9.41
0T~q0,2018-11-02,63.32
2lHxB,2018-11-02,10.62
MRaBF,2018-12-24,14.38
0HqnI,2019-01-22,13.79
Vld9v,2018-11-02,3.31
WR3Bq,2018-11-06,26.95
3iavD,2018-11-02,13.32
qlzvZ,2018-11-05,10.84
Yjb6d,2018-11-24,13.71
4g~Ss,2018-11-02,17.8
DHI23,2018-11-12,20.92
QUBAK,2018-11-02,15.13
r9C3R,2018-11-04,19.5
vNTig,2018-11-02,15.66
M7QHZ,2018-11-06,8.38
ZlK9X,2018-11-14,53.65
WqapV,2018-11-02,8.26
WD7JY,2018-11-04,12.71
xIpuT,2018-11-27,27.09
vrxJg,2018-11-25,145.42
W1Ov2,2018-11-02,15.67
LcvMg,2018-11-05,29.72
OLiNy,2018-11-02,16.59
P3rZv,2018-11-02,19.09
A3rYP,2018-11-02,12.19
t58d7,2018-11-16,16.05
~p6mo,2018-11-24,26.53
tv8rj,2018-11-13,13.46
kN0_F,2018-11-16,25.25
oLQdZ,2018-11-06,20.59
4k06e,2018-11-02,26.59
uTjg4,2018-11-02,14.15
Tk2kV,2018-11-02,19.32
qak3c,2018-11-05,25.13
S0vPM,2018-11-20,8.68
16259,2018-11-18,14.07
d_GDy,2018-11-11,36.85
~jAyw,2019-02-09,20.97
qzTcD,2018-11-02,21.1
YD1t~,2018-11-22,38.29
pkYjz,2018-11-02,8.76
r1sA9,2018-11-10,30.66
IeR9V,2018-11-09,24.65
Oawwn,2018-11-12,24.88
vdXmN,2018-11-15,15.2
8PsaM,2018-12-04,22.49
hu1h4,2018-11-30,47.4
9BOMA,2018-11-15,10.23
vRFF5,2018-11-29,18.47
C~V1P,2018-11-09,29.68
NNYBY,2018-11-02,8.62
pXpXQ,2018-12-17,13.37
6qGRU,2018-11-02,17.43
Tnsms,2018-11-06,9.64
6tWF4,2018-11-19,50.87
Y1bYN,2018-11-24,72.75
wQWnD,2018-11-11,159.96
aqERC,2018-11-11,9.36
ZUfwt,2018-11-02,19.09
x6Ilc,2018-11-02,29.64
hMTY2,2018-11-16,37.42
st4m0,2018-11-02,39.21
l5OFG,2018-11-02,16.26
uBiZn,2018-11-06,9.14
yGCTT,2018-12-01,14.0
SiQYz,2018-11-14,38.78
IyXWy,2018-11-02,12.97
5WtJR,2018-11-18,34.21
NEGLd,2018-11-07,16.19
IV2UR,2018-11-02,30.65
U2B8i,2018-11-02,11.2
q5_na,2018-11-05,14.32
1RaAB,2018-12-06,32.42
xLDQH,2018-11-22,7.7
C246n,2018-11-06,12.96
mT9d3,2018-11-19,7.91
1czwE,2018-11-10,34.49
6YTuC,2018-11-02,13.31
dyEXf,2018-11-02,10.76
Ba2XN,2018-11-14,21.38
G9S8r,2018-11-23,17.15
3ACdF,2019-02-09,13.68
A35wJ,2018-11-02,22.33
28Znc,2018-11-02,23.22
6ZVfU,2018-11-02,15.95
JVgLs,2018-11-02,46.95
rYChV,2018-11-11,25.22
ZDTaQ,2018-12-28,29.58
EFB_m,2018-11-23,8.19
b6CHw,2018-11-02,43.84
jZkzY,2018-11-12,44.46
YgBQB,2018-11-02,45.18
5yzwT,2018-12-03,58.66
d07ih,2018-12-31,20.7
gkX2Z,2018-11-02,22.2
DTRDk,2018-12-14,22.87
BFHKl,2018-11-10,25.6
Em1R9,2018-12-10,62.36
R7scg,2018-11-05,12.76
4Ltse,2018-11-10,18.72
~6lia,2018-11-03,13.59
G6y~K,2018-12-08,8.52
Ud6gP,2018-11-02,26.19
mS3PY,2018-11-16,24.45
bt3t_,2018-11-03,28.0
~66fT,2018-11-12,23.13
UevA9,2018-11-06,17.5
TY3q8,2018-11-13,14.4
OIOzk,2018-11-02,16.22
cumDr,2018-11-15,9.26
9hTO3,2019-02-06,49.14
brXAM,2018-11-02,13.84
lQZ4j,2018-11-10,21.14
gE0qd,2018-11-12,37.95
SHaP8,2018-11-21,11.02
jPlTt,2018-11-24,17.54
fCEfv,2018-11-02,8.71
uH_rI,2018-11-09,47.11
WN73F,2018-11-02,12.62
Tlxt4,2018-11-15,8.78
YIEWb,2018-12-11,12.65
Dli0n,2018-11-02,25.25
kIwIl,2018-11-02,25.42
nwIbY,2019-01-09,6.96
l~2Bv,2018-11-02,19.65
x~cII,2018-11-02,41.29
DP0xz,2018-11-21,49.08
1BHMv,2018-11-09,22.28
j45RO,2018-11-02,27.14
q0TIW,2018-12-23,53.79
QcwP8,2018-12-08,23.48
c67xU,2018-11-02,15.55
fnHaM,2018-12-24,11.58
~AbvE,2018-12-13,11.1
u_0qI,2018-11-06,13.05
_~_AH,2018-11-02,11.69
FZJ19,2018-11-09,11.21
g9eyT,2018-12-12,12.28
YCuMp,2018-11-02,65.44
9YdHb,2018-12-16,14.13
jkjMz,2018-11-16,22.75
l8buC,2018-11-08,27.04
eWvjE,2018-11-13,45.12
kKGyC,2018-12-14,17.75
rkVt3,2018-11-02,7.63
z78~x,2018-11-02,20.55
Y6F1M,2018-11-21,30.79
M_pn8,2018-11-25,15.42
1293J,2018-12-03,12.73
gS9UL,2018-11-02,25.15
sSslA,2018-11-20,29.43
CACD3,2018-11-15,15.11
3Phk7,2018-12-24,39.29
_upvn,2018-11-02,7.19
DPsaj,2018-11-02,16.34
eRACn,2018-11-30,32.57
yf2De,2018-11-11,13.91
DFJ4J,2018-11-02,39.89
4657I,2018-11-14,15.01
OEb~D,2018-11-02,16.78
CjEfJ,2018-12-10,8.6
30Jrh,2018-11-02,17.81
bInCX,2018-11-21,102.08
OCWu_,2018-11-21,8.44
RTePA,2018-11-02,10.17
Sjcgw,2018-12-21,29.82
zTTno,2018-11-02,20.15
ql_KM,2018-11-02,41.57
qebaz,2018-11-02,27.03
BOpiq,2018-11-04,23.19
bnNaP,2018-11-02,24.27
1b~lG,2019-01-04,16.9
5zISP,2018-12-25,23.09
yBko0,2019-01-09,47.04
Xp2C1,2018-11-13,18.84
~9Gl_,2018-11-02,7.1
UFvVS,2018-12-28,11.22
gLZpZ,2018-11-02,17.44
hq_mx,2018-11-23,10.34
8m~qD,2018-11-28,14.52
fRr7w,2018-11-27,18.63
~ASFj,2018-11-02,26.41
2n0pE,2018-11-02,27.82
8gkxS,2018-11-16,25.06
~FAxj,2018-11-08,18.41
RAnTG,2018-11-02,36.8
2FZtR,2018-12-02,8.11
xU9kR,2018-11-26,40.15
jyg21,2018-11-02,12.64
I07rR,2018-12-30,24.69
_ym_z,2018-12-05,10.96
_EXSy,2018-11-02,11.06
sMnrE,2018-11-02,20.89
kdxka,2018-11-05,35.11
b51YU,2018-11-14,15.65
4BOB7,2018-11-02,27.68
I6JXt,2018-12-10,10.83
5zEGK,2018-11-02,18.61
o1rdN,2018-11-02,10.22
bjm6f,2018-11-11,26.28
5XGlg,2018-11-18,35.94
pAdmp,2018-11-03,48.58
R7rWx,2019-01-09,15.39
gVbwT,2018-11-03,10.64
5RJSr,2018-11-02,43.97
_AJyg,2018-11-02,19.84
p_TMZ,2018-11-02,24.02
88VoC,2018-11-02,11.06
AdvwJ,2018-11-02,25.79
WLWzk,2018-11-20,9.36
GcpaY,2018-11-02,11.85
KbfET,2018-11-02,27.21
hGiKT,2018-11-04,38.71
u94QE,2018-11-05,34.29
MqCm4,2018-11-27,43.24
y3oh6,2018-11-02,17.97
lZb_g,2018-11-02,19.68
yidfo,2018-12-15,50.6
shHjx,2018-11-02,20.61
RGso~,2018-12-09,12.02
Q3Xo~,2018-11-02,41.13
zDti6,2018-11-13,6.16
RJN64,2018-11-02,27.78
EzFlV,2018-12-16,43.23
CwnSh,2018-12-14,16.23
z0g4y,2018-12-14,22.47
b7pyr,2018-11-02,27.61
_xUJ9,2019-01-13,81.33
1qk7c,2018-11-02,16.65
vUH0h,2018-11-02,19.69
QKrr1,2018-11-02,12.75
ImvyG,2018-11-26,17.64
F8Xl8,2018-11-02,45.13
Lg5DL,2018-11-09,3.06
P_E9d,2018-11-28,40.9
LUbgG,2018-11-21,7.39
7g46B,2018-11-09,13.92
cTyfw,2018-11-27,21.1
31k1b,2018-11-02,175.22
ia2pY,2018-11-02,11.56
d~Fwb,2018-11-02,42.58
uNQRK,2018-11-02,24.34
b_7oM,2018-11-02,16.99
3EJqF,2018-11-19,18.17
526MT,2018-11-02,54.94
9yxto,2018-11-02,53.73
zpIHj,2018-11-16,34.8
wlwwY,2018-11-20,18.49
b50BK,2018-11-02,7.27
l~JTu,2018-11-02,24.35
i4awU,2018-12-16,19.38
4GPV4,2018-11-09,22.67
d08sv,2018-12-13,27.94
A0lKH,2018-12-05,9.32
2RA~w,2018-12-06,32.88
RhiYn,2018-11-07,22.29
kLHmH,2018-11-02,9.46
qDkpx,2018-11-02,15.56
CKgvT,2018-11-11,23.81
zrysj,2018-11-02,8.88
wdBIL,2018-11-29,16.05
8LfQs,2018-11-02,20.74
zSx0r,2018-11-10,24.07
qG9Wr,2018-11-02,16.51
jaNWS,2018-11-02,10.27
8B4my,2019-01-16,13.4
WJ0w_,2019-01-06,14.3
8tR5Y,2018-11-07,32.46
OuiHe,2018-12-31,22.45
qAl3R,2018-11-13,43.68
uoRND,2018-12-10,16.83
UZqdY,2019-01-05,21.0
QVwmD,2018-11-19,36.55
3QY9g,2018-11-17,8.19
hXP2t,2018-11-04,19.67
u7rwL,2018-11-29,14.01
rhoii,2018-11-02,51.16
59ZVx,2018-11-02,54.34
dCs_R,2018-11-02,21.14
qXBYH,2018-11-11,19.17
iwYWU,2018-11-02,26.46
Hb7X6,2018-11-15,25.86
23EeY,2018-11-02,18.98
jXs1a,2018-11-02,20.63
reaZQ,2018-11-02,46.0
F9Q3r,2018-11-16,8.41
4xwaC,2018-11-02,12.93
v95~S,2018-11-12,18.33
iohwE,2018-12-07,23.75
9nvNQ,2018-11-10,22.29
RTNDs,2018-11-10,12.37
Q~BTJ,2018-11-02,8.18
Vb6vX,2018-12-23,19.64
wb4p2,2018-11-02,6.18
iE96A,2018-11-05,42.53
87htN,2018-11-08,17.58
DyPXM,2018-11-10,15.91
KoXZx,2018-11-02,9.38
EpmBF,2018-11-02,22.01
NgJ0D,2018-12-01,10.01
_rAWO,2018-11-03,9.09
qOjDc,2018-12-12,20.21
iERLE,2018-11-02,45.0
B9YRT,2018-11-02,11.32
q1Niy,2018-11-06,13.49
qSfbv,2019-01-22,12.2
7WDNd,2018-11-30,15.96
AW~2s,2018-11-02,46.1
1RrWC,2018-11-03,16.58
aFOcS,2018-11-22,15.87
ERxTi,2018-11-07,14.52
YyYX4,2018-11-23,34.3
~zeko,2018-11-02,16.42
cZjnk,2018-11-12,18.54
bW9Ey,2018-11-02,24.93
hhhlO,2018-11-05,23.02
QCkcd,2018-11-02,33.01
VDrVu,2018-12-23,15.03
lYqdK,2018-11-02,22.23
BVbaD,2018-11-15,24.24
dGq11,2018-11-02,33.3
e6nZC,2018-11-14,7.97
JWq~F,2018-11-02,19.95
wf33a,2018-11-06,40.3
bFnDv,2018-11-05,24.13
GSXC1,2018-11-02,65.65
7EF2k,2018-11-08,13.23
1daX7,2018-11-07,43.02
prfWx,2018-11-02,32.24
n7qyQ,2018-11-04,25.28
cdZeG,2018-11-02,37.3
EiQdX,2018-11-02,16.22
TYQoZ,2018-11-02,28.51
DW5Ij,2018-11-23,16.77
qdYT2,2018-11-12,23.08
StNkA,2018-11-06,19.44
ZS9fz,2018-11-28,42.11
YNFwU,2018-11-02,23.67
jTjY9,2018-11-02,37.11
7MNtn,2018-11-02,12.12
_vfye,2018-12-12,142.12
Hu2L4,2018-11-02,40.41
Yvsbz,2018-11-06,45.17
1RkVQ,2018-11-02,42.65
3ze6h,2018-11-13,23.68
xxHTe,2018-11-02,23.17
zY1KF,2018-11-08,31.84
pScp9,2018-11-02,12.02
hGz9D,2018-11-08,37.85
4rQqK,2018-11-05,19.25
2SQ2E,2018-11-05,72.65
_cFlK,2018-11-02,46.32
sjaxy,2018-11-09,21.81
G2peN,2018-11-02,30.73
3cOgh,2018-11-02,43.86
YdWVD,2018-11-07,41.41
qRvqw,2018-11-04,25.3
3xgvf,2018-11-13,28.27
lF4By,2018-11-02,34.9
fNyeM,2018-11-05,22.04
eAQ03,2018-11-02,33.03
UOOTr,2018-11-12,28.3
HF7~3,2018-11-02,31.29
8H360,2018-11-02,55.2
HGEu6,2018-11-02,22.5
YTPAn,2018-11-05,20.06
nkB51,2018-12-14,16.99
uA_Jt,2018-11-07,17.63
mmZs4,2018-11-02,17.24
CRENj,2018-12-05,25.41
0eVBW,2018-11-02,11.89
UqDaw,2018-11-12,13.78
5hoiI,2018-11-11,16.99
mBN7o,2018-11-08,23.75
Hbelr,2018-11-03,9.21
PeYJt,2018-11-13,56.44
OnWdT,2018-11-05,39.01
t9gET,2018-11-02,18.32
mEURL,2018-11-02,31.79
urA1G,2018-11-02,8.86
6Cw0m,2018-11-11,16.62
BPZdK,2018-11-02,19.14
9_Vqq,2018-11-09,65.61
EQwz_,2018-11-02,15.24
Zdwom,2018-11-02,18.35
uLIcu,2018-11-03,13.66
AQKzT,2018-11-11,44.91
KK4VV,2018-12-18,12.23
p2j4g,2018-11-07,16.65
Zpby~,2018-11-02,11.67
ajRX6,2018-11-06,40.27
pGQ1j,2018-12-23,35.91
64OXJ,2018-11-02,30.05
dRB2M,2018-11-02,32.81
CTI6U,2018-11-13,22.1
mzkZm,2018-11-02,17.74
GgEPo,2018-11-02,41.78
er6ic,2018-11-11,8.31
9UyLv,2018-11-02,16.79
2~qCT,2018-11-05,22.77
tDCf3,2018-11-02,23.67
8yvfG,2018-11-02,35.36
iZqwi,2018-11-07,37.16
fNyJB,2018-11-05,18.4
KnAjT,2018-11-05,50.87
1F244,2018-11-17,39.12
wjT6M,2018-11-02,56.68
9gWxq,2018-11-24,37.17
gC4oo,2018-11-02,39.92
OlXun,2018-11-04,12.28
G02xI,2018-11-02,18.02
KEb48,2018-11-02,10.83
nfV_Q,2018-11-02,64.96
JSlVy,2018-11-02,9.08
MOBZv,2018-11-14,50.17
9_Owp,2018-11-12,18.49
Z5HkJ,2018-11-02,45.41
BHy4L,2018-11-02,63.93
Z7R4W,2018-11-19,66.86
q3WwS,2018-12-14,18.55
X7QK9,2018-11-11,35.44
JV8Z6,2018-11-02,43.75
ZJ2qe,2018-11-05,23.22
0X1pq,2018-11-02,18.17
l9juI,2018-11-04,62.37
27rrR,2018-11-13,9.17
cF8Ev,2018-12-11,11.54
AndiP,2018-11-02,32.06
WFttw,2018-11-02,33.69
jhXvF,2018-11-07,10.85
e__sj,2018-11-02,21.29
O3rEY,2018-11-02,20.8
JyWip,2018-11-02,25.34
MdSAI,2019-01-21,14.82
CMRJW,2018-12-08,42.17
3rnzK,2018-11-05,33.51
Ptk~G,2018-11-02,11.67
QtuTY,2018-11-02,20.92
yYBBn,2018-11-02,18.75
v3JId,2018-11-05,77.26
D918i,2018-12-06,17.87
